time,Mbol,u_lsst,g_lsst,r_lsst,i_lsst,z_lsst,Y_lsst,
1.776940448E9,-1.356986395,-0.0669080731297733,-1.29715212008884,-1.4814577517304,-1.46220370010431,-1.4085035974941,-1.40294566957387,0.97997
1.776940659E9,-1.364029296,-0.0774367627935042,-1.30677831523843,-1.48829984295024,-1.46752173729293,-1.41315291978467,-1.40762431242911,0.97997
1.776940871E9,-1.369964803,-0.0853622790829012,-1.31485722406657,-1.49413112250673,-1.47205959491879,-1.41714573551989,-1.41171422907372,0.97997
1.776941083E9,-1.374980558,-0.0920376167839281,-1.32166339711588,-1.49906029993896,-1.47590856657395,-1.42054008436116,-1.41518991497787,0.97997
1.776941294E9,-1.37899726,-0.09735715257462,-1.3270891164254,-1.50300944652776,-1.47900786853131,-1.42328241621966,-1.41799652788072,0.97997
1.776941506E9,-1.382132181,-0.101477845223476,-1.33129433613091,-1.50609374883009,-1.48144692732837,-1.42545130070895,-1.42021456617093,0.97997
1.776941718E9,-1.384417743,-0.104443357640477,-1.33432353594174,-1.50834503426627,-1.48325029068492,-1.42706820860895,-1.4218660430029,0.97997
1.776941929E9,-1.385879322,-0.106287967389205,-1.33621164052263,-1.50978820741803,-1.48443709756006,-1.4281498324309,-1.42296808029157,0.97997
1.776942141E9,-1.386773772,-0.107355147948396,-1.33730874599476,-1.51067557862346,-1.48520338735306,-1.42886848004462,-1.42369720564548,0.97997
1.776942353E9,-1.387028153,-0.107547903309001,-1.33751598089037,-1.51093546389321,-1.48549312096375,-1.42917467854397,-1.42400276944205,0.97997
1.776942564E9,-1.386830724,-0.107118128199693,-1.33709009817479,-1.5107527827777,-1.48544988112244,-1.42919456714325,-1.42401400995842,0.97997
1.776942776E9,-1.386114568,-0.105976894015747,-1.33594046108322,-1.51006176778272,-1.48502221058284,-1.42888268531467,-1.42368439077821,0.97997
1.776942988E9,-1.385091462,-0.104407539069667,-1.33435586739755,-1.50907044039768,-1.48437164809178,-1.42838096083743,-1.42315932431292,0.97997
1.776943199E9,-1.383771065,-0.102423438975781,-1.3323499522173,-1.50778826014495,-1.48350524986591,-1.42769540640567,-1.42244500092348,0.97997
1.776943411E9,-1.382160148,-0.10003411063769,-1.32993242099257,-1.50622184968837,-1.48242786392632,-1.42683008972486,-1.42154561906169,0.97997
1.776943623E9,-1.380366268,-0.0973837044360018,-1.32725019308949,-1.50447684248384,-1.48122136598236,-1.42585685163328,-1.42053479855396,0.97997
1.776943834E9,-1.378575813,-0.0947216905759993,-1.32455750987056,-1.50273631240559,-1.4800278783786,-1.4249005491727,-1.41954046336233,0.97997
1.776944046E9,-1.376556255,-0.0917379182266618,-1.3215382815292,-1.50077179818383,-1.47866936294191,-1.42380433816653,-1.4184019863548,0.97997
1.776944258E9,-1.374446572,-0.0886185188849313,-1.31838219751691,-1.49871979922511,-1.47725171221134,-1.42266120068516,-1.41721464099338,0.97997
1.776944469E9,-1.372230405,-0.0853421091584754,-1.31506746242719,-1.49656421513092,-1.47576210255982,-1.42145966355066,-1.4159667055358,0.97997
1.776944681E9,-1.370009082,-0.0815493202764175,-1.31172319354626,-1.49443846239324,-1.47430135320151,-1.42029845508862,-1.41479733742422,0.97997
1.776944893E9,-1.36769142,-0.0775808142941059,-1.3082342253994,-1.49222128927496,-1.47277742658232,-1.41908693388206,-1.41357823117988,0.97997
1.776945104E9,-1.365498495,-0.0737801780652543,-1.30490288371882,-1.49012657015375,-1.47135668441385,-1.41797034084079,-1.41245451758057,0.97997
1.776945316E9,-1.363365641,-0.0700512331297458,-1.30164137941453,-1.48809145001752,-1.46998989374441,-1.41690539474342,-1.41138267556661,0.97997
1.776945528E9,-1.361508772,-0.0667180936576073,-1.29874478911658,-1.48632559273997,-1.46884006441363,-1.41603466283957,-1.410506066561,0.97997
1.776945739E9,-1.359675309,-0.063403069637431,-1.29586888899006,-1.48458363097282,-1.46771583060114,-1.41519041484645,-1.40965602828817,0.97997
1.776945951E9,-1.358027268,-0.0603495160539775,-1.29323519847415,-1.48302288048033,-1.46673943929558,-1.41447953467585,-1.4089400414902,0.97997
1.776946163E9,-1.356406051,-0.0573204911995422,-1.29062770946412,-1.48148925714597,-1.46579063368099,-1.41379655866316,-1.40825205510682,0.97997
1.776946374E9,-1.355044424,-0.054665326732384,-1.28836449523375,-1.48020879360525,-1.46504517200671,-1.41329524232358,-1.40774668602451,0.97997
1.776946586E9,-1.353953751,-0.0524016838962718,-1.28646149414142,-1.47919248320227,-1.46451134842865,-1.41298270297745,-1.40743109556446,0.97997
1.776946798E9,-1.352983101,-0.0503040691933165,-1.28471313509397,-1.47829369112371,-1.46407472329589,-1.41275857847061,-1.40720436219002,0.97997
1.776947009E9,-1.352085495,-0.0483026819105283,-1.28305568468514,-1.47746674925783,-1.46369949817653,-1.41259137748156,-1.40703481941486,0.97997
1.776947221E9,-1.351535842,-0.046809935042974,-1.28186472311891,-1.47697862411189,-1.4635933124339,-1.41266281616629,-1.40710520886893,0.97997
1.776947433E9,-1.351059538,-0.0454149757066178,-1.28076582601242,-1.47656256942112,-1.46354823927051,-1.41279066920015,-1.40723228286778,0.97997
1.776947644E9,-1.350719199,-0.0442121539416664,-1.27984481642092,-1.4762793635943,-1.46361137842462,-1.41301605824033,-1.40745739714434,0.97997
1.776947856E9,-1.350608571,-0.0433424623715173,-1.27923001690594,-1.47622001923682,-1.46385336415336,-1.41340072382633,-1.40784264473944,0.97997
1.776948068E9,-1.350634915,-0.0426674923834876,-1.27879520401255,-1.47629442750846,-1.46420381635131,-1.41388290117869,-1.40832591513469,0.97997
1.776948279E9,-1.350875705,-0.0423038516953973,-1.27864649015992,-1.47657779718727,-1.46472106482358,-1.41451355982638,-1.40895847059888,0.97997
1.776948491E9,-1.351271792,-0.0421634448214352,-1.27870349153702,-1.47701264430887,-1.46536013591551,-1.41525318888532,-1.4097005799994,0.97997
1.776948703E9,-1.351815491,-0.0422352743334009,-1.27895606678801,-1.47759146922376,-1.46611497456547,-1.41609636672068,-1.41054679442952,0.97997
1.776948914E9,-1.352489118,-0.0424933512869978,-1.27938041739929,-1.47829706164865,-1.46697197076747,-1.41703105554594,-1.41148501089563,0.97997
1.776949126E9,-1.353343682,-0.0430146043559541,-1.28004651756559,-1.47917892823982,-1.46796945272449,-1.41809071780271,-1.41254888664154,0.97997
1.776949338E9,-1.354173876,-0.0434918836596072,-1.28067440028741,-1.4800376374016,-1.46895198119138,-1.41913907504611,-1.41360136630628,0.97997
