time,Mbol,u_lsst,g_lsst,r_lsst,i_lsst,z_lsst,Y_lsst,col9
5.207805896E9,-3.88789082,-0.871740192818939,-3.12697315827022,-3.90920820363064,-4.13823827814761,-4.23073388814081,-4.27433773262294,10.7762
5.207808073E9,-3.887339817,-0.875756401496125,-3.12807450436343,-3.90923073813694,-4.13788765720205,-4.2300927194026,-4.27358475419361,10.7762
5.20781025E9,-3.88698552,-0.880412796566117,-3.12953947436437,-3.90951270327669,-4.13775816489804,-4.22964204061812,-4.27301030877589,10.7762
5.207812427E9,-3.886858965,-0.885802662400488,-3.13142261985372,-3.91009403519278,-4.13788433132799,-4.22941204789725,-4.27264289633908,10.7762
5.207814603E9,-3.886829723,-0.89153120283738,-3.13349359509923,-3.91080653011243,-4.13812084306766,-4.22927581267822,-4.27236268228487,10.7762
5.20781678E9,-3.887014031,-0.897948303233663,-3.13595694085533,-3.91179983255893,-4.13859708663942,-4.22934646081298,-4.27227648358059,10.7762
5.207818957E9,-3.887009391,-0.903835054644021,-3.1381016642332,-3.91255480803956,-4.13886465479301,-4.22923236351751,-4.27201464992722,10.7762
5.207821134E9,-3.886732264,-0.908936955290092,-3.13977966096131,-3.91296351704785,-4.13883042421545,-4.228852281674,-4.27150056213704,10.7762
5.20782331E9,-3.886350159,-0.91375892966596,-3.14128597044124,-3.91324170640931,-4.13868090271522,-4.22836924601779,-4.27088816505608,10.7762
5.207825487E9,-3.886258532,-0.919494460001013,-3.14331760995162,-3.91389889182399,-4.13885642758626,-4.22816807058166,-4.2705407314852,10.7762
5.207827664E9,-3.886396378,-0.925956318384332,-3.14576589693669,-3.91485606727923,-4.13928890815818,-4.22818942989327,-4.27040231153949,10.7762
5.207829841E9,-3.887135763,-0.93426555847902,-3.14928591101033,-3.91659236795821,-4.1403925163424,-4.22879537165361,-4.27081468055311,10.7762
5.207832017E9,-3.888078383,-0.943215870237578,-3.15317405958149,-3.9185940608237,-4.14172353808588,-4.22959837809017,-4.27141210919743,10.7762
5.207834194E9,-3.889334189,-0.953075095782941,-3.15760732851849,-3.92098621041987,-4.14338856544592,-4.23069373854797,-4.2722871668466,10.7762
5.207836371E9,-3.891090706,-0.963859776609435,-3.1627734724713,-3.92386612477817,-4.14545783310558,-4.23216083450601,-4.27353772176248,10.7762
5.207838548E9,-3.893206373,-0.975693750572087,-3.16856526360708,-3.92719705775662,-4.14791414146777,-4.23396667005278,-4.27510946630445,10.7762
5.207840725E9,-3.895484497,-0.988008330079849,-3.17464205983872,-3.9307326829157,-4.15054561997899,-4.23592537593909,-4.27682584194744,10.7762
5.207842901E9,-3.897825774,-1.00051504653776,-3.18083138223352,-3.93434847716644,-4.15324526201428,-4.23794316212605,-4.27859779473586,10.7762
5.207845078E9,-3.900426177,-1.01377319114869,-3.18746983810649,-3.93828898379878,-4.15622390944535,-4.24020541986989,-4.28060156312309,10.7762
5.207847255E9,-3.903184264,-1.02748622064737,-3.19438054003292,-3.94242677630246,-4.15937219341976,-4.2426164020515,-4.28274628086668,10.7762
5.207849432E9,-3.906160135,-1.04182339081697,-3.20166585490794,-3.94683657722097,-4.16275469590386,-4.2452330268988,-4.28508609835138,10.7762
5.207851608E9,-3.909430174,-1.05700184792201,-3.20945663731449,-3.95161359656662,-4.16645355856352,-4.24812756282053,-4.28768971538465,10.7762
5.207853785E9,-3.913474868,-1.07439989038825,-3.21858071496415,-3.95735823184003,-4.17098590923714,-4.25175425803331,-4.29098871469008,10.7762
5.207855962E9,-3.918098679,-1.09345252962743,-3.22869958894654,-3.96382564730392,-4.17614113628909,-4.25592832877265,-4.29480756664699,10.7762
5.207858139E9,-3.923308374,-1.11417784142116,-3.23982435869545,-3.97102413050667,-4.18192645646632,-4.26065617473843,-4.29915233765899,10.7762
5.207860315E9,-3.929344023,-1.13726423739864,-3.25236847659126,-3.97925362422604,-4.18860021029624,-4.26616471357781,-4.30423857299713,10.7762
5.207862492E9,-3.935961037,-1.16200500334391,-3.26590857725008,-3.98820788222022,-4.19589897213713,-4.27222283954612,-4.30984677558508,10.7762
5.207864669E9,-3.943057444,-1.18810270969686,-3.28026709764619,-3.99775889147706,-4.20371282300456,-4.27873428410453,-4.31588556907186,10.7762
5.207866846E9,-3.950956207,-1.21588914476101,-3.29590754450386,-4.00815185137645,-4.21219473820965,-4.28584660937933,-4.32250939252397,10.7762
5.207869022E9,-3.959371319,-1.24436592950259,-3.31230736438296,-4.01898307597233,-4.22098117711542,-4.29324470148833,-4.32942323488404,10.7762
5.207871199E9,-3.968063058,-1.27356722538371,-3.32916357408103,-4.03014693473882,-4.23005389283086,-4.3008969330671,-4.33657973899308,10.7762
5.207873376E9,-3.977106786,-1.30369567411113,-3.34660283272197,-4.04173467835828,-4.23949095751328,-4.30887235436258,-4.3440448188374,10.7762
5.207875553E9,-3.986056978,-1.33352059683627,-3.3638635820965,-4.05320323326929,-4.24883042942109,-4.31676444852189,-4.35143118836929,10.7762
5.20787773E9,-3.995043988,-1.36339619850745,-3.38116640019103,-4.06471085441853,-4.25820739844333,-4.32469247745365,-4.35885262627245,10.7762
5.207879906E9,-4.004617704,-1.39483235047265,-3.39944765173688,-4.07692681682781,-4.2681919028425,-4.33315864304234,-4.36678777731016,10.7762
5.207882083E9,-4.014652028,-1.42747865420569,-3.41849095633174,-4.08969717911712,-4.27865317152645,-4.34204798779386,-4.37512716181136,10.7762
5.20788426E9,-4.025334245,-1.46170978146077,-3.43858020016779,-4.1032142405952,-4.28974481407472,-4.35150062154524,-4.38400492745914,10.7762
5.207886437E9,-4.037049799,-1.49715372601526,-3.46001766419652,-4.11757733102999,-4.30144228093033,-4.36154306360772,-4.39345223756949,10.7762
